iteration,source,score,weights,valid,mu_ann,sigma_ann,sigma_q_0.8,sigma_q_0.9,sigma_q_0.95,mean_sigma_ann,median_sigma_ann,mean_var_ann,median_var_ann,risk_violation,concentration,n_assets,step,model,train_start,train_end,test_start,test_end
-1,seed,-0.0467250442375802,"{""DELI"": 0.12891826169701262, ""SBER"": 0.2815984007508752, ""FXIT"": 0.35638530361661197, ""USD000UTSTOM"": 0.18231079372410838, ""MSNG"": 0.02067855777308105, ""LQDT"": 0.030108682438310892}",1,-0.04157505577445231,0.1514273974595068,0.11518737561117907,0.1514273974595068,0.16956294522667084,0.09392362662713269,0.08784610221096639,0.010297161208406111,0.007716937673659555,0.0,0.25749942315639474,6,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-0.23776419835988116,"{""UNAC"": 0.37682678657728175, ""FXUS"": 0.08065352887331294, ""SU26244RMFS2"": 0.5425196845494054}",1,-0.22890757782137186,0.27068971774553763,0.23257939110979314,0.27068971774553763,0.28762241008158046,0.17824642918315306,0.17495216851519285,0.03674430900746778,0.030608261268168433,0.0,0.44283102692546483,3,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-0.13738152062977638,"{""FIVE"": 0.07519938132534963, ""ASTR"": 0.18115279836218948, ""RTKM"": 0.04753791006573132, ""BSPB"": 0.00013640808660518873, ""MOEX"": 0.026252289707659422, ""TRNFP"": 0.4318888972128887, ""SU26243RMFS4"": 0.02218703964043806, ""MAGN"": 0.21564527559913826}",1,-0.13188265049630346,0.31574825508812765,0.2917751131261344,0.31574825508812765,0.3266081087782891,0.21193381395104757,0.19615393081016405,0.051232998403868794,0.038476364572278626,0.0,0.27494350667364575,8,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-1.415752671258611,"{""SNGSP"": 0.3488709511762696, ""RUAL"": 0.02033574317180247, ""EUR_RUB__TOM"": 0.11281039281293388, ""MAGN"": 0.03564777899940423, ""UNAC"": 0.4823351338395898}",1,-0.26707056217110037,0.40706533684114027,0.31054951852205626,0.40706533684114027,0.4518645405475885,0.24887607613836657,0.22818303452580285,0.07092856933313588,0.052067497245403736,0.05706533684114029,0.3687686132352384,5,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-0.08186184050548836,"{""MSNG"": 0.22013836523173022, ""SOFL"": 0.0990157537710277, ""TITR"": 0.04131448590892062, ""HEAD"": 0.00960909688112941, ""FLOT"": 0.3535644491984552, ""PHOR"": 0.2749291921452489, ""HYDR"": 0.0014286568634880763}",1,-0.07664863725905612,0.3466420955531325,0.2907339847304012,0.3466420955531325,0.3620932997837551,0.22872630131909236,0.2202102412988079,0.05851581210389347,0.0484925503728792,0.0,0.26066016232161254,7,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-0.08551672211891098,"{""AFLT"": 0.016382177739785498, ""BELU"": 0.09260950615931166, ""IRAO"": 0.2549250009192562, ""JPYRUB_TOM"": 0.15022504206932946, ""SBRB"": 0.2697336534523949, ""FIVE"": 0.2062391435689053, ""SBGB"": 0.009885476091017132}",1,-0.08128096678852413,0.11762418747285204,0.09613301825846877,0.11762418747285204,0.1377379333219638,0.09674361250388072,0.06852566547476287,0.022319725989122505,0.004695766828759107,0.0,0.21178776651934236,7,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-0.00849531131453062,"{""IRAO"": 0.38237347919088893, ""MOEX"": 0.21258991480024425, ""SBER"": 0.24998116979251486, ""USD000UTSTOM"": 0.08779444531521415, ""MGNT"": 0.06726099090113793}",1,-0.0031727825097433507,0.26131330716827217,0.23647555526598596,0.26131330716827217,0.2897208427295053,0.17702223215421423,0.16614239687047666,0.03486639834379647,0.02760329603786697,0.0,0.2661264402393635,5,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-0.05428817738139291,"{""SBHI"": 0.03912813344390239, ""FXMM"": 0.009745196212164544, ""EUR_RUB__TOM"": 0.27069729892782907, ""FXIT"": 0.09592872139040254, ""FLOT"": 0.3194239576041279, ""MOEX"": 0.06969678555350499, ""HEAD"": 0.19537990686806866}",1,-0.04970481855086916,0.22560070680378871,0.20083566917065274,0.22560070680378871,0.2591895164246113,0.153007082363899,0.14557395780510843,0.02618441674754949,0.021191777191043485,0.0,0.2291679415261875,7,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-0.039390762042405374,"{""CHFRUB_TOM"": 0.004469799384027062, ""AKMB"": 0.17095494303668046, ""TBRU"": 0.112993221801597, ""BSPB"": 0.17750276662057662, ""TGKN"": 0.15417417836363104, ""UPRO"": 0.3751363258515377, ""BELU"": 0.004768764941950153}",1,-0.03462996297534867,0.2829632390865445,0.2582539719426309,0.2829632390865445,0.2998373553669308,0.20498624261479528,0.20148040571344467,0.0453682889468413,0.04059435388645427,0.0,0.23803995335283526,7,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
-1,seed,-1.0246331156842365,"{""LSRG"": 0.051134368657142375, ""TATN"": 0.40316436718596943, ""HEAD"": 0.03398063364848378, ""CBOM"": 0.09623320796696241, ""MAGN"": 0.09329543020858978, ""NVTK"": 0.3221919923328522}",1,0.015170592442334567,0.40170210194470213,0.33135199221529105,0.40170210194470213,0.44174117342920916,0.2632832796421623,0.2566696080972624,0.07742582584928888,0.06587928772080227,0.05170210194470215,0.28808346162641135,6,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
